Count,Population_pair,Samples,Initial_SNP,MAF_filter_SNP,Filtered_SNP,LR_accuracy,LR_f1score,LR_kappa,UMAP_LR_accuracy,UMAP_LR_f1score,UMAP_LR_kappa,PCA_LR_accuracy,PCA_LR_f1score,PCA_LR_kappa
1,BFcol_BFgam,167.0,4836295,202928,117141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,BFcol_AOcol,153.0,4836295,196218,61911,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,BFcol_CIcol,146.0,4836295,206852,91634,1.0,1.0,1.0,0.9333333333333333,0.9330357142857143,0.8666666666666667,1.0,1.0,1.0
4,BFcol_CMgam,175.0,4836295,200832,118031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,BFcol_GAgam,144.0,4836295,218226,52077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,BFcol_GHcol,130.0,4836295,209195,99926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,BFcol_GM,140.0,4836295,213948,95963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,BFcol_GNgam,115.0,4836295,200373,112287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,BFcol_GW,166.0,4836295,206882,111223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,BFcol_KE,123.0,4836295,192085,29700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,BFcol_UGgam,187.0,4836295,205039,114473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,BFgam_AOcol,170.0,4836295,207088,69555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,BFgam_CIcol,163.0,4836295,204334,102661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,BFgam_CMgam,192.0,4836295,201889,113457,0.8974358974358975,0.8960647195941314,0.7936507936507936,0.8461538461538461,0.8461538461538461,0.6921052631578948,0.6666666666666666,0.6208805031446542,0.321285140562249
15,BFgam_GAgam,161.0,4836295,215988,58249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,BFgam_GHcol,147.0,4836295,207173,108662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,BFgam_GM,157.0,4836295,210501,100563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
